"EvidenceID","Artifact","BaselineSHA256","PostAnalysisSHA256","Result"
"DFIR-D08-E001","POWERSHELL.EXE-CA1AE517.pf","88D5A522699DA8808BFB2A7DCCBFB7D2B596B13BB0A1B97E5F7B775E1F91B15D","88D5A522699DA8808BFB2A7DCCBFB7D2B596B13BB0A1B97E5F7B775E1F91B15D","MATCH"
"DFIR-D08-E003","Day 8 Practical Lab Answer.docx.lnk","1AE1EF67753016C2E6283D143A0FEFA313370EB2E7EB3B110ED476B469D40ADE","1AE1EF67753016C2E6283D143A0FEFA313370EB2E7EB3B110ED476B469D40ADE","MATCH"
"DFIR-D08-E002","PowerShell-Operational-Events.csv","2BF0FB024302980E006F2D8CE9386604C2347863FDD0C017B1EEA5B71984190B","2BF0FB024302980E006F2D8CE9386604C2347863FDD0C017B1EEA5B71984190B","MATCH"
