"File","ExpectedHash","ActualHash","Status"
"NTUSER-DAT.hiv","1119094255FD9E36804FC67970DB06B05320CEEFBE860B7DF445C1326517662C","1119094255FD9E36804FC67970DB06B05320CEEFBE860B7DF445C1326517662C","MATCH"
"SAM.hiv","48515CCCE605E6EACA15EA43DA60C40907090515476DD27BC50D931A88E7AAD3","48515CCCE605E6EACA15EA43DA60C40907090515476DD27BC50D931A88E7AAD3","MATCH"
"SECURITY.hiv","AFDC42A6923BE8E8DF1BD51D9B601C15CEC691315613539FBBF142C355CC87BD","AFDC42A6923BE8E8DF1BD51D9B601C15CEC691315613539FBBF142C355CC87BD","MATCH"
"SOFTWARE.hiv","4721873F6F60DB3DFA3F9E38FCC3192BE93A384C260D686D9084080B3563BB97","4721873F6F60DB3DFA3F9E38FCC3192BE93A384C260D686D9084080B3563BB97","MATCH"
"SYSTEM.hiv","E66871DD776136F3E59675846A51A386424CEDE98CD985FE2415DF46D21E22E8","E66871DD776136F3E59675846A51A386424CEDE98CD985FE2415DF46D21E22E8","MATCH"
"UsrClass-DAT.hiv","768EC15849FE0F8B84816BE27038975110B54319BE834FCDB3FE623BBF950B55","768EC15849FE0F8B84816BE27038975110B54319BE834FCDB3FE623BBF950B55","MATCH"
