"EvidenceID","Artifact","Source","Method","Length","SHA256","Status"
"DFIR-D10-E001","SYSTEM.hiv","HKLM\SYSTEM","reg.exe save","43143168","E66871DD776136F3E59675846A51A386424CEDE98CD985FE2415DF46D21E22E8","Baseline"
"DFIR-D10-E002","SOFTWARE.hiv","HKLM\SOFTWARE","reg.exe save","110362624","4721873F6F60DB3DFA3F9E38FCC3192BE93A384C260D686D9084080B3563BB97","Baseline"
"DFIR-D10-E003","SAM.hiv","HKLM\SAM","reg.exe save","49152","48515CCCE605E6EACA15EA43DA60C40907090515476DD27BC50D931A88E7AAD3","Baseline"
"DFIR-D10-E004","SECURITY.hiv","HKLM\SECURITY","reg.exe save","49152","AFDC42A6923BE8E8DF1BD51D9B601C15CEC691315613539FBBF142C355CC87BD","Baseline"
"DFIR-D10-E005","NTUSER-DAT.hiv","HKU\S-1-5-21-272426600-1996297137-4257108005-1001","reg.exe save","20443136","1119094255FD9E36804FC67970DB06B05320CEEFBE860B7DF445C1326517662C","Baseline"
"DFIR-D10-E006","UsrClass-DAT.hiv","HKU\S-1-5-21-272426600-1996297137-4257108005-1001_Classes","reg.exe save","12664832","768EC15849FE0F8B84816BE27038975110B54319BE834FCDB3FE623BBF950B55","Baseline"
