"EvidenceID","ArtifactType","Artifact","AcquisitionMethod","EvidencePath","SHA256","IntegrityState"
"DFIR-D09-E001","Windows Event Log","System.evtx","wevtutil epl","evidence\evtx\System.evtx","7444A75EF66FD923B344E578165DECCE6E60D8EC52AC39B5E4FB4AEE8E1CF026","BASELINE"
"DFIR-D09-E002","Windows Event Log","PowerShell-Operational.evtx","wevtutil epl","evidence\evtx\PowerShell-Operational.evtx","B3A68A4B5320E05E49EDD1B9385967ECC2C3F326B58C21A97C8B2C6541A1893F","BASELINE"
"DFIR-D09-E003","Windows Event Log","Security.evtx","wevtutil epl","evidence\evtx\Security.evtx","97B3A26141ED5ABE6F26D3B65043149E8FD34CF159D34BF2E14B9E91B57EF0F8","BASELINE"
